UniProt,Group,Family,Name,Symbol,Prediction
Q14289,TK,FAK,Protein-tyrosine kinase 2-beta ,PTK2B,0.4645
Q14680,CAMK,CAMKL,Maternal embryonic leucine zipper kinase ,MELK,0.4213
Q15118,Atypical,PDHK,[Pyruvate dehydrogenase ,PDK1,0.0962
Q15119,Atypical,PDHK,[Pyruvate dehydrogenase ,PDK2,0.8089
Q15139,CAMK,PKD,Serine/threonine-protein kinase D1 ,PRKD1,0.3876
Q15303,TK,EGFR,Receptor tyrosine-protein kinase erbB-4 ,ERBB4,0.9479
Q15349,AGC,RSK,Ribosomal protein S6 kinase alpha-2 ,RPS6KA2,0.1271
Q15418,AGC,RSK,Ribosomal protein S6 kinase alpha-1 ,RPS6KA1,0.1933
Q15746,CAMK,MLCK,"Myosin light chain kinase, smooth muscle ",MYLK,0.2241
Q15759,CMGC,MAPK,Mitogen-activated protein kinase 11 ,MAPK11,0.4968
Q16288,TK,Trk,NT-3 growth factor receptor ,NTRK3,0.35
Q16512,AGC,PKN,Serine/threonine-protein kinase N1 ,PKN1,0.1465
Q16513,AGC,PKN,Serine/threonine-protein kinase N2 ,PKN2,0.0817
Q16539,CMGC,MAPK,Mitogen-activated protein kinase 14 ,MAPK14,0.5794
Q16584,TKL,MLK,Mitogen-activated protein kinase kinase kinase 11 ,MAP3K11,0.1657
Q16620,TK,Trk,BDNF/NT-3 growth factors receptor ,NTRK2,0.257
Q16816,CAMK,PHK,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform ",PHKG1,0.1279
Q16832,TK,DDR,Discoidin domain-containing receptor 2 ,DDR2,0.6802
Q59H18,TKL,MLK,Serine/threonine-protein kinase TNNI3K ,TNNI3K,0.7643
Q5S007,TKL,LRRK,Leucine-rich repeat serine/threonine-protein kinase 2 ,LRRK2,0.3971
Q5VT25,AGC,DMPK,Serine/threonine-protein kinase MRCK alpha ,CDC42BPA,0.4216
Q7KZI7,CAMK,CAMKL,Serine/threonine-protein kinase MARK2 ,MARK2,0.4011
Q7L7X3,STE,STE20,Serine/threonine-protein kinase TAO1 ,TAOK1,0.4202
Q86V86,CAMK,PIM,Serine/threonine-protein kinase pim-3 ,PIM3,0.1242
Q8IW41,CAMK,MAPKAPK,MAP kinase-activated protein kinase 5 ,MAPKAPK5,0.1754
Q8N4C8,STE,STE20,Misshapen-like kinase 1 ,MINK1,0.3514
Q8N5S9,Other,CAMKK,Calcium/calmodulin-dependent protein kinase kinase 1 ,CAMKK1,0.1976
Q8NE63,CMGC,DYRK,Homeodomain-interacting protein kinase 4 ,HIPK4,0.63
Q8TDC3,CAMK,CAMKL,Serine/threonine-protein kinase BRSK1 ,BRSK1,0.1408
Q8TF76,Other,Haspin,Serine/threonine-protein kinase haspin ,HASPIN,0.3511
Q92630,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 2 ,DYRK2,0.2801
Q96GD4,Other,Aur,Aurora kinase B ,AURKB,0.7965
Q96KB5,Other,TOPK,Lymphokine-activated killer T-cell-originated protein kinase ,PBK,0.1405
Q96L34,CAMK,CAMKL,MAP/microtubule affinity-regulating kinase 4 ,MARK4,0.3062
Q96PF2,CAMK,TSSK,Testis-specific serine/threonine-protein kinase 2 ,TSSK2,0.1593
Q96RR4,Other,CAMKK,Calcium/calmodulin-dependent protein kinase kinase 2 ,CAMKK2,0.1588
Q96SB4,CMGC,SRPK,SRSF protein kinase 1 ,SRPK1,0.072
Q9BXA7,CAMK,TSSK,Testis-specific serine/threonine-protein kinase 1 ,TSSK1B,0.3295
Q9BYT3,CAMK,CAMK-Unique,Serine/threonine-protein kinase 33 ,STK33,0.2244
Q9BZL6,CAMK,PKD,Serine/threonine-protein kinase D2 ,PRKD2,0.4732
Q9H093,CAMK,CAMKL,NUAK family SNF1-like kinase 2 ,NUAK2,0.4409
Q9H1R3,CAMK,MLCK,"Myosin light chain kinase 2, skeletal/cardiac muscle ",MYLK2,0.1625
Q9H2G2,STE,STE20,STE20-like serine/threonine-protein kinase ,SLK,0.9155
Q9H2X6,CMGC,DYRK,Homeodomain-interacting protein kinase 2 ,HIPK2,0.386
Q9H4B4,Other,PLK,Serine/threonine-protein kinase PLK3 ,PLK3,0.2116
Q9HAZ1,CMGC,CLK,Dual specificity protein kinase CLK4 ,CLK4,0.3797
Q9NWZ3,TKL,IRAK,Interleukin-1 receptor-associated kinase 4 ,IRAK4,0.5027
Q9NYL2,TKL,MLK,Mitogen-activated protein kinase kinase kinase 20 ,MAP3K20,0.3726
Q9NYY3,Other,PLK,Serine/threonine-protein kinase PLK2 ,PLK2,0.0704
Q9P1W9,CAMK,PIM,Serine/threonine-protein kinase pim-2 ,PIM2,0.0386
Q9UBE8,CMGC,MAPK,Serine/threonine-protein kinase NLK ,NLK,0.7451
Q9UEE5,CAMK,DAPK,Serine/threonine-protein kinase 17A ,STK17A,0.2476
Q9UF33,TK,Eph,Ephrin type-A receptor 6 ,EPHA6,0.952
Q9UHD2,Other,IKK,Serine/threonine-protein kinase TBK1 ,TBK1,0.3489
Q9UK32,AGC,RSK,Ribosomal protein S6 kinase alpha-6 ,RPS6KA6,0.1768
Q9UM73,TK,ALK,ALK tyrosine kinase receptor ,ALK,0.2601
Q9UQB9,Other,Aur,Aurora kinase C ,AURKC,0.5561
Q9Y243,AGC,Akt,RAC-gamma serine/threonine-protein kinase ,AKT3,0.042
Q9Y2U5,STE,STE11,Mitogen-activated protein kinase kinase kinase 2 ,MAP3K2,0.4903
Q9Y463,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 1B ,DYRK1B,0.1039
Q9Y4K4,STE,STE20,Mitogen-activated protein kinase kinase kinase kinase 5 ,MAP4K5,0.6947
Q9Y6E0,STE,STE20,Serine/threonine-protein kinase 24 ,STK24,0.078
