UniProt,Group,Family,Name,Symbol,Prediction
Q9UF33,TK,Eph,Ephrin type-A receptor 6 ,EPHA6,0.7849
Q9UHD2,Other,IKK,Serine/threonine-protein kinase TBK1 ,TBK1,0.0075
Q9UK32,AGC,RSK,Ribosomal protein S6 kinase alpha-6 ,RPS6KA6,0.0182
Q9UM73,TK,ALK,ALK tyrosine kinase receptor ,ALK,0.0173
Q9UQB9,Other,Aur,Aurora kinase C ,AURKC,0.0105
Q9Y243,AGC,Akt,RAC-gamma serine/threonine-protein kinase ,AKT3,0.0025
Q9Y2U5,STE,STE11,Mitogen-activated protein kinase kinase kinase 2 ,MAP3K2,0.0874
Q9Y463,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 1B ,DYRK1B,0.0092
Q9Y4K4,STE,STE20,Mitogen-activated protein kinase kinase kinase kinase 5 ,MAP4K5,0.1992
Q9Y6E0,STE,STE20,Serine/threonine-protein kinase 24 ,STK24,0.0231
